rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
1.0,don't waste your $,Very poor quality and flat as a pancake. Bought others that day and what a difference. Not stuffed very well at all. Does not plump up as the fillers inside are very little. Very disappointed with this company,[],B01K69SDY4,B09T3QS13Q,AHCKSJ26QBDYUSFDQBRHHBOZ2KWQ,1477220325000,3,True
5.0,I am very please with this purchase!,"This chair is super easy to assemble, and comes with the tools you need. It took me about 2 minutes. It’s very sturdy. I love it!","[{'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/7111JbAMMvL.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/7111JbAMMvL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/7111JbAMMvL._SL256_.jpg'}]",B01N5KG39E,B07P5WVHVJ,AGSAIHANTWSUQ7GVKQ3JRNTWMZBQ,1520696234583,0,True
5.0,Soft!,Love it,[],B07GRMYVV4,B07GRMYVV4,AF3J65JTGQ55552R4EOXIKI27IZQ,1546266820583,0,True
5.0,"Perfect for corralling my ""take during meals"" bottles.","For my purposes, it would work better without the dividers, but its beauty and solid craftsmanship make up for that! Perhaps they'll sell another with a different form factor. That would be ideal!<br /><br />THIS divider is on my kitchen table, which is a mix of grey and brown stained wood. The divider's colors echoe the long curvy lines of natural wood with its delicately carved body, and grey and brown finish.<br /><br />The wood and handles are solid, making this one of the highest quality items you could buy to perform whatever function you have in mind. Each section is lined with a very thin very soft material. It's luxurious.",[],B08SSTR3Y8,B09CJX61MZ,AFW4KVBYU63WKKAJSRQAMALDRRHQ,1665731335141,0,True
3.0,it's a pillow,got this to go with my Minnie themed bedding and it fits right in. I'm not a big throw pillow fan but it was Minnie so hey,[],B006TU2940,B006TU2940,AHAMORDGL3SZ76YF3WYY5N246EAA,1377787917000,0,True
3.0,Not for petite people,Quality of material is average. Easy to put together. Definitely not for petite people. I am 5’3” and when I put the wheels and sit down my feet do not touch the floor on the lowest setting Also when I sit back.,[],B0BCD884LG,B0BCD9BLXC,AER6I2DVQ6VK7EAAP6D7VB6PTQ4A,1670874795889,0,True
5.0,Strong stainless steel and easy cleaning. I'm using it for chicken wings and ...,Strong stainless steel and easy cleaning. I'm using it for chicken wings and jerky in the oven. I also received a free recipe ebook as a bonus gift! Great buy.,[],B01IS02O9S,B08L5CVWKC,AGS77DFJ5LLYMI7G52BNX2KMNUHQ,1506986162174,0,True
1.0,falling apart,I loved this product when I first received it. however it is falling apart. I would not purchase another one,[],B07PXBN9YQ,B0B2CSPLS4,AFOQOJ75RJAXQPA4PELUCJBZLCPQ,1610385286676,1,True
5.0,Worth it,Compact and powerful,[],B07S9R3HFQ,B07S9R3HFQ,AHPBBQ2JB4TEFB64OLFFQVKII3KQ,1565107172429,0,True
5.0,Can't beat Cutco for quality and durability. I wish ...,Can't beat Cutco for quality and durability. I wish a larger board were available. These are the only cutting boards I will use.,[],B00EX94UL4,B00EX94UL4,AFJYFBQSGV4AA7ERCJ22MMGQISDA,1458483932000,1,True
5.0,I love these sheets,I have been looking for bamboo sheets for a while. A friend recommended these. I literally don't want to get out of bed in the morning because they are so comfortable. Worth every penny to have the coolness and comfort that I needed in sheets. Plus them being organic is a winner too!,[],B0B8JNC7GP,B0BZF9183Q,AHBVOZDSMA4CA7A6RPQHBARTYVWA,1672606292916,0,True
5.0,very nice quality,soft and good quality. I buy alot of these and this is; be of the nicer ones for the price,[],B075HZCK77,B0828GYBF1,AGW6VI2EEQYTWFBI2JZETTYIV3SQ,1645377590740,0,True
