id,parent_asin,product_title,rating,title,text,helpful_vote,label,images,asin,user_id,timestamp,verified_purchase,has_product,text_length
1,B0BK1Y358T,Linenspa Comforter Duvet Insert Cal King Stone/Charcoal Down Alternative All Season Microfiber-Cal King Size - Box Stitched,1,Not what I expected,"The comforter feels super thin and cheap. It doesn’t look or feel like the quality I was hoping for, and the box stitching already started coming undone after just a week of use. Disappointed.",2,Machine Generated,,,,,,,
2,B0B3CT972D,,1,Ineffective because they don't stay fixed to the window!,"The windows were washed and wet when the decals were applied. The next morning, most had fallen. Use the kind that don't require we application. They stay on!",0,Real,[],B08J7VMKZG,AEPNTK4JZ2E5USCBRVCALU2LJLOQ,1.65134E+12,TRUE,TRUE,158
3,B00OBVQ382,"Betty Crocker Slow Cooker with a Travel Bag, 5-Quart, Red, BC-1544C",4,Great slow cooker with a bonus travel bag!,"I’ve been using this slow cooker for a few weeks now, and it works perfectly for soups, stews, and even pulled pork. The 5-quart size is just right for small family meals. The travel bag is a fantastic touch—super handy for potlucks! Wish the lid fit a bit tighter, but overall, LOVE it.",6,Machine Generated,,,,,,,
4,B087HGJJSQ,"BISSELL ProHeat 2X Revolution Pet Full Size Upright Carpet Cleaner and Shampooer with Antibacterial Spot & Stain Remover, 1548",2,Not as powerful as I hoped,"It’s okay, but it didn’t handle tough pet stains like I expected. The suction felt weak, and the carpet stayed damp for hours. For the price, I thought it’d be better. Disappointed overall.",3,Machine Generated,,,,,,,
4,B07CFWDN5W,"South Shore Axess 5-Shelf Narrow Bookcase, Pure Black, 7270758",5,Perfect for Tight Spaces!,"This bookshelf is AWESOME. It’s slim but holds a surprising amount of books and decor. The pure black finish looks sleek, and it fits perfectly in my small office nook. Assembly was straightforward, and it feels sturdy. Highly recommend!",7,Machine Generated,,,,,,,
6,B079GVJ6L1,,5,Best tree base ever,Best tree base ever,0,Real,[],B000KKQDV0,AF2HI7SMETC7ZHMU5MNM5V3ZJ6ZQ,1.6076E+12,TRUE,TRUE,19
7,B083LFPS8X,,5,Super soft and big and comfortable!,"Got it in the mail today early and omg I love it so much! It's so soft, and with me being 5'4, this is legit the perfect size blanket to snuggle and watch anime and fuel my Fruits Basket addiction! Thank you!",0,Real,[],B083LFPS8X,AGKI5ELC7LRWLIVFBP7GTDMPAUJA,1.67805E+12,TRUE,TRUE,208
8,B09R8FMYL3,"Hamilton Beach Portable Blender for Shakes and Smoothies with 14 Oz BPA Free Travel Cup and Lid, Durable Stainless Steel Blades for Powerful Blending Performance, 2 Jars - White (51102V)",2,Not as powerful as I hoped,"It looks nice and is compact, but struggles with anything more than soft fruits. The blades don’t handle ice well, and the motor feels weak. Fine for basic shakes, but not great for smoothies with extras.",3,Machine Generated,,,,,,,
9,B09B3J63QH,,2,Building it,It’s absurd that I purchased a pleasing looking bread box and I have to put it together. Really?,0,Real,[],B08GC4DHTS,AEKWKEOL2RECOFOO3NFZVZ7AUB4A,1.67749E+12,TRUE,TRUE,96
10,B00JVKBQZS,,3,not well insullated,"It appears to function nicely, but will not hold ice for very long .",1,Real,[],B00JVKBQZS,AEJ6CWHAYBRD562V4OI7AU7HPDBQ,1.42959E+12,TRUE,TRUE,68
