id,rating,title,text,parent_asin,helpful_vote,label
101,2,Cute but flimsy,"They looked adorable, but half of them bent super easily.",B0BKCYDV4P,0,Machine Generated
102,3,Not what I thought it would be.,"It’s just a little too big and too full to fit in the nape of my neck, which is what I thought it would do when I bought it.  One of these days when I have time, I’m going to empty some of the hulls out of it. Also it does not come with a washable case, unless you want to empty all the hulls out before you wash it. So I’m going to have to buy the zippered outer cover, which is an added expense.  The materials are good, however, and it is made well.",B0BJL5SPB4,1,Real
103,5,Buy it ..Soft Great size Great Price,So soft cant beat the price beautiful rug thank u,B07HSWPCZ7,0,Real
104,1,Way too flimsy,Had these pillows for just a week and they're already losing shape. The stuffing lumps up quik. It's like I bought them from a rummage sale. Kinda regret it.,B0B5XGMFJB,0,Machine Generated
105,5,Lovley pink roses,Got them for Mom's bday an she almost cried. They look so real. Perfect for a special day.,B0BGNYJWM7,0,Machine Generated
106,1,Didn't work right out of box,"It arrived dead, with no battery working. That realy ruined my day.",B09RHTJBR5,0,Machine Generated
107,5,Love this Scentsy scent,I love Scentsy! Very fast delivery. I will be buying more. Thank you much!,B00LSXZP6W,0,Real
108,3,"Works, but loud",This dehumidifier definitley pulls moisture from the air. The custom humidity control is a neat feature. But the noise is kind of off-putting. Might return it eventually.,B09SQ8Y75X,0,Machine Generated
109,5,Perfect,The perfect size for fresh towels,B0B2FSWF3K,0,Real
110,2,So-so mitts,"Kinda helpfull. They slip a bit, though. Not the best I've tried, but they look cute.",B08Y6GC5SV,0,Machine Generated
